transaction_id,user_id,segment,country,merchant,category,amount,timestamp,device_type,is_refunded,is_fraudulent
879463009885,208,SMB,AR,Microsoft,electronics,126.02,2023-01-01 01:04:39+00:00,tablet,False,False
404737561214,183,consumer,US,Telcel,telco,48.31,2023-01-01 03:08:19+00:00,tablet,False,False
12503321040,155,consumer,BR,Oxxo,retail,10.56,2023-01-01 08:52:04+00:00,mobile,False,False
176693838346,89,consumer,CL,Amazon,e-commerce,43.7,2023-01-01 11:25:07+00:00,desktop,False,False
276091832029,921,merchant,MX,Airbnb,travel,139.69,2023-01-01 12:43:28+00:00,mobile,False,False
719575841950,854,consumer,BR,Shell,fuel,57.99,2023-01-01 13:12:01+00:00,desktop,False,False
966074701384,422,consumer,US,Steam,gaming,23.45,2023-01-01 15:40:19+00:00,mobile,False,False
291922513770,373,consumer,BR,DoorDash,food_delivery,11.44,2023-01-01 15:54:56+00:00,mobile,False,False
813015498665,784,consumer,US,Netflix,subscriptions,13.86,2023-01-01 20:05:01+00:00,mobile,False,False
463845325312,669,consumer,US,Uber,mobility,69.49,2023-01-01 21:17:45+00:00,desktop,False,False
390312907176,782,consumer,BR,Starbucks,coffee,7.68,2023-01-01 22:33:42+00:00,desktop,False,False
518859600950,161,consumer,MX,Starbucks,coffee,0.81,2023-01-02 07:44:13+00:00,desktop,False,False
715405948314,955,consumer,US,Rappi,food_delivery,23.52,2023-01-02 08:30:26+00:00,mobile,False,False
529903130388,642,consumer,AR,BestBuy,electronics,52.12,2023-01-02 08:44:19+00:00,mobile,False,False
537982477047,782,consumer,MX,MercadoLibre,e-commerce,60.89,2023-01-02 12:28:52+00:00,mobile,False,False
75915784671,708,consumer,US,Spotify,subscriptions,5.27,2023-01-02 12:49:02+00:00,mobile,False,False
803692106021,725,consumer,MX,Lyft,mobility,6.65,2023-01-02 14:19:50+00:00,mobile,False,False
707549097478,87,consumer,US,Spotify,subscriptions,23.67,2023-01-02 15:52:31+00:00,mobile,True,False
